2016-11-21T21:16:17+0000,"For Trump and GOP,' Obamacare' Repeal Is Complex and Risky",By THE ASSOCIATED PRESS,"Here's the idea: Swiftly pass a repeal of President Barack Obama's health care law, perhaps soon enough for Donald Trump to sign it the day he takes the presidential oath. Then approve legislation restructuring the nation's huge and convoluted health care system &#8212; despite Republican divisions, Democratic opposition and millions of jittery constituents."
2016-11-21T11:30:04+0000,Let’s Say Obamacare Is Repealed. What Then?,By AARON E. CARROLL and AUSTIN FRAKT,The Upshot’s health policy columnists discuss the options before Congress: both the policies and the political choices.
2016-11-21T08:39:54+0000,GOP's Control of Washington Carries Risks,By THE ASSOCIATED PRESS,"For Republicans, there will be no one left to blame."
2016-11-20T14:23:16+0000,Alec Baldwin Returns to ‘S.N.L.’ as President-Elect Trump,By ANDREW R. CHOW,Mr. Baldwin played a stunned and unprepared president-elect in the cold open of “Saturday Night Live.”
2016-11-20T12:27:33+0000,"The Latest: Christie, Trump Meet; Christie Prospects Unclear",By THE ASSOCIATED PRESS,The Latest on President-elect Donald Trump (all times local):
2016-11-20T07:39:38+0000,Obama: I'll Push Back on Trump if Needed to Defend US Ideals,By THE ASSOCIATED PRESS,"President Barack Obama said Sunday he doesn't intend to become his successor's constant critic &#8212; but reserved the right to speak out if President-elect Donald Trump or his policies breach certain ""values or ideals."""
2016-11-19T20:34:16+0000,The Wreckage of Obama’s Legacy,By JULIAN E. ZELIZER,His major reforms are on the chopping block. But there is hope that some may be saved.
2016-11-19T13:24:35+0000,Political Risks Come With Control of Washington for GOP,By THE ASSOCIATED PRESS,"For Republicans, there will be no one left to blame."
2016-11-18T15:36:58+0000,I Wish We All Could Be Californian,By DANIEL DUANE,Our secessionary mood is an emotional reaction to the election of Donald Trump and a reflection of the power of our own brand of liberalism.
2016-11-18T14:03:32+0000,Americans Want Trump to Focus on Healthcare First,By REUTERS, (This version of the story was corrected to remove reference to Obamacare in first paragraph)
2016-11-18T08:48:40+0000,Unlikely Apprentice: Obama Coaches Trump to Be World Leader,By THE ASSOCIATED PRESS,It's the last thing President Barack Obama ever expected he'd be doing in his final months in office: Coaching Donald Trump on how to be a world leader.
2016-11-18T08:21:12+0000,The Medicare Killers,By PAUL KRUGMAN,"Candidate Trump promised to protect entitlements, but President-elect Trump apparently has different plans."
2016-11-17T19:27:33+0000,Americans Want Trump to Focus on Healthcare First: Poll,By REUTERS,By Chris Kahn
2016-11-17T15:00:30+0000,Trump-Size Idea for a New President: Build Something Inspiring,By JAMES B. STEWART,"The right public works projects can send a message of inclusion and pride. If Donald Trump is ready to take a cue from F.D.R., here are some places to start."
2016-11-17T14:51:33Z,Obama Says Would Support Trump Moves to Improve U.S. Healthcare,By REUTERS,President Barack Obama said on Thursday he would support any move by President-elect Donald Trump to improve healthcare for Amercicans.
2016-11-17T14:19:39+0000,The Contradiction at the Heart of Donald Trump’s Economic Policy,By NEIL IRWIN,"Policies that increase the value of the dollar would make it harder for U.S. manufacturers to compete overseas, one of many trade-offs that a president faces."
2016-11-17T06:15:38Z,"Gasol Has 24 Points, 9 Rebounds as Spurs Beat Kings 110-105",By THE ASSOCIATED PRESS,"After struggling in the first few weeks of the season to find their patented offensive rhythm, the San Antonio Spurs are once again making it miserable for opposing teams."
2016-11-17T03:01:43Z,HealthCare.gov Sees Early Rise in Enrollment Amid Worries on Law’s Future,By ROBERT PEAR,"More than 300,000 people selected plans in the three days after the election of Donald J. Trump, who has called the Affordable Care Act a “disaster.”"
2016-11-16T22:06:13+0000,"Review: ‘Bellevue’ Celebrates a Hospital Not Crazy, but Compassionate",By JENNIFER SENIOR,"This book by David Oshinsky, subtitled “Three Centuries of Medicine and Mayhem at America’s Most Storied Hospital,” traces a New York institution’s resilience."
2016-11-16T20:03:59Z,Republican Falsehoods About Obamacare,By TERESA TRITCH,Paul Ryan and others claim that Obamacare is hurting people with Medicare and employer-provided insurance. They’re wrong.
2016-11-16T09:12:38Z,Trump's Path on Health Care Law Intersects With a Lawsuit,By THE ASSOCIATED PRESS,President-elect Donald Trump says he wants to preserve health insurance coverage even as he pursues repeal of the Obama-era overhaul that provided it to millions of uninsured people.
2016-11-16T08:21:06Z,Obama in Trumpland,By FRANK BRUNI,Behold the president’s wishful bid to tame the president-elect.
2016-11-15T12:48:46Z,The Latest: Trump Goes Out for Dinner Without Press in Tow,By THE ASSOCIATED PRESS,The Latest on Donald Trump's transition to the presidency (all times EST):
2016-11-15T08:21:08Z,There Are No Permanent Victories in Politics,By ARTHUR C. BROOKS and GAIL COLLINS,Will President Trump and the Republican Party overreach when they take full control of the government in January?
2016-11-15T08:15:12Z,Why Keeping Only the Popular Parts of Obamacare Won’t Work,By MARGOT SANGER-KATZ,"Keeping the pre-existing conditions piece while removing others might seem like a political win for Donald Trump, but it would result in a broken system."
2016-11-15T08:00:25Z,"C.E.O.s Ponder a New Game, With Trump’s Rules",By ANDREW ROSS SORKIN,"Conventional wisdom is that the Trump administration will bring comprehensive change; more likely, any change will be incremental."
2016-11-15T00:15:57Z,What Could Be Worse Than Repealing All of Obamacare?,By JONATHAN GRUBER,"By keeping only the most popular parts, Donald Trump would leave patients worse off than they were before the law was passed."
2016-11-14T22:30:33Z,"Factbox: President-Elect Trump's Top Goals, Biggest Hurdles",By REUTERS,"Republican Donald Trump campaigned on a promise to shake up Washington and as president the brash real estate mogul will be in a position to dramatically change how the United States handles immigration, trade and a range of other policies."
2016-11-14T17:03:22Z,Trump’s Supreme Court List: Ivy League? Out. The Heartland? In.,By ADAM LIPTAK,The seemingly set-in-stone list has important clues about the president-elect’s judicial priorities. It also contains a few surprises.
2016-11-14T12:00:01Z,"Politics Aside, We Know How to Fix Obamacare",By AUSTIN FRAKT,The problems afflicting the Affordable Care markets are similar to those once faced by Medicare Advantage.
2016-11-14T10:00:27Z,"As Transition Pace Picks Up, Trump Nears Cabinet Nominations","By ALAN RAPPEPORT, ERIC LICHTBLAU, MAGGIE HABERMAN and ADAM LIPTAK","A week after his stunning election victory, the president elect is closing in on picks for posts such as the secretaries of state and of the Treasury, and attorney general."
2016-11-13T21:18:51Z,"Trump Names Priebus, Bannon to Senior White House Roles",By THE ASSOCIATED PRESS,"President-elect Donald Trump made his first two key personnel appointments on Sunday, one an overture to Republican circles by naming GOP chief Reince Priebus as his White House chief of staff, the other a shot across the bow of the Washington establishment by tabbing Breitbart news executive Stephen Bannon as chief strategist and senior counselor."
2016-11-13T21:18:29Z,Donald Trump Picks Reince Priebus as Chief of Staff and Stephen Bannon as Strategist,"By MICHAEL D. SHEAR, MAGGIE HABERMAN and ALAN RAPPEPORT","The appointments created rival centers of power and elevated the voice of Mr. Bannon, whose longtime website, Breitbart News, has traded in conspiracy theories and sometimes racist messages."
2016-11-12T19:30:20+0000,Obama Lobbies Against Obliteration by Trump,By MAUREEN DOWD,How can Barack Obama not understand the Obama revolution?
2016-11-12T19:30:09+0000,He Made America Feel Great Again,By ROSS DOUTHAT,Scenes from a triumphant Trump first term.
2016-11-12T19:30:09+0000,When Republicans Take Power,By GEOFFREY KABASERVICE,How does a party that views government as the enemy actually begin to govern?
2016-11-12T18:14:37+0000,The Myth of Female Solidarity,By SUSAN CHIRA,Women’s loyalty to class and party trump their loyalty to one another.
2016-11-12T16:50:25+0000,The Trump Stock Rally: Calamity Averted With a Little Charm,By JEFF SOMMER,Markets that had heavily favored Hillary Clinton were poised to dive on election night. Then President-elect Donald J. Trump sweetened his tone.
2016-11-12T13:15:30Z,Some Republicans See Attacking Obamacare Through Regulation,By REUTERS,"Congressional Republicans are looking for the quickest ways to tear down Obamacare following Donald Trump's election as U.S. president, including rapidly confirming a new health secretary who could recast regulations while waiting for lawmakers to pass sweeping repeal legislation."
2016-11-12T12:06:30Z,"Trump Win Fuels Donations, IUD Demand at Planned Parenthood",By REUTERS,Planned Parenthood is reporting a spike in donations and demand for long-acting contraceptives since Donald Trump's election as U.S. president while abortion foes hope to gain momentum in their quest to cut public funding to the women's health organization.
2016-11-12T02:48:56Z,Spurs' Popovich on Trump's Election: 'That's Disgusting.',By THE ASSOCIATED PRESS,"Saying he fears for the country's future, San Antonio Spurs coach Gregg Popovich made his frustrations and anger over Donald Trump's election known Friday night."
2016-11-11T23:38:29Z,"No, Birth Control Coverage Won’t Go Away",By MARGOT SANGER-KATZ,The new administration could make it harder to get low-cost contraception. But there’s no need to panic about the short term.
2016-11-11T21:36:28Z,Supporters to Trump: Break Campaign Promises at Your Peril,By REUTERS,Kathryn Stellmack expects the world from Donald Trump.
2016-11-11T20:57:42Z,Trump Packs Transition Team With Loyalists and Family,By REUTERS,"President-elect Donald Trump began laying the groundwork on Friday to take office on Jan. 20, 2017, gathering the most loyal advisers from his insurgent campaign and three of his children to plot his transition strategy."
2016-11-11T20:54:30Z,Trump Says He's Considering Keeping Parts of Obamacare: WSJ,By REUTERS,President-elect Donald Trump told the Wall Street Journal he is considering retaining parts of President Barack Obama's healthcare law including provisions letting parents keep adult children up to age 26 on insurance policies and barring insurers from denying coverage to people with pre-existing conditions.
